Adı,Doğum Tarihi,Pozisyon,Son Takımı,Maç Sayısı,Gol Sayısı,Sarı Kart,Kırmızı Kart
Patrick Mortensen,1989,F,AGF Aarhus,384,155,0,
Teofilo Gutierrez,1985,F,Deportivo Cali,506,155,19,
Hugo Rodallega,1985,F,Santa Fe,520,155,5,
Marek Hamsik,1987,O,Trabzonspor,753,155,3,
Lyuboslav Penev,1966,F,Lokomotiv Plovdiv,379,155,5,
Javier Saviola,1981,F,River Plate,485,155,2,
Allan Simonsen,1952,F,Vejle,363,154,0,
Adam le Fondre,1986,F,Hibernian,406,154,0,
Kerstin Garefrekes,1979,O,FFC Frankfurt (K),215,154,0,
Patrick Hoban,1991,O,Dundalk,358,154,1,
Üstün Bilgi,1988,F,Serik Belediyespor,423,154,3,
Ian Henderson,1985,O,Rochdale,448,154,6,
Roberto Bettega,1950,F,Juventus,414,154,1,
Patrick Hoban,1991,O,Dundalk,358,154,1,
Üstün Bilgi,1988,F,Serik Belediyespor,423,154,3,
Ian Henderson,1985,O,Rochdale,448,154,6,
Roberto Bettega,1950,F,Juventus,414,154,1,
Fredi Bobic,1971,F,Rijeka,408,153,5,
Celia Sasic,1988,F,FFC Frankfurt (K),157,153,0,
Christen Press,1988,F,Angel City (K),274,153,0,
Karl-Heinz Modrath,1951,F,Alemannia Aachen,277,153,3,
Andrea Belotti,1993,F,Roma,423,153,0,
Stefano Nyers,1924,F,Sabadell,236,153,1,
Nemanja Bilbija,1990,F,Zrinjski Mostar,284,153,1,
Youssef Msakni,1990,O,Al Arabi,292,153,1,
Pirri,1945,D,Puebla,508,153,1,
Rodrigo,1991,F,Leeds United,496,153,6,
Franck Ribery,1983,O,Salernitana,657,153,9,
Mirko Vucinic,1983,F,Al Jazira Abu Dhabi,428,153,4,
Diego,1985,O,Flamengo,750,153,5,
Darko Kovacevic,1973,F,Olympiakos,397,153,6,
Oliver Bierhoff,1968,F,Chievo,368,153,3,
Fabrizio Miccoli,1979,F,Birkirkara,373,152,2,
Tammy Abraham,1997,F,Roma,374,152,0,
Bernardo Cuesta,1988,F,Melgar,332,152,2,
Ronivaldo,1989,F,Blau-Weiss Linz,228,152,1,
James Collins,1990,F,Derby County,477,152,4,
Duvan Zapata,1991,F,Atalanta,423,152,1,
Troy Deeney,1988,F,Birmingham,472,152,3,
John Akinde,1989,F,Colchester,453,152,1,
Georginio Wijnaldum,1990,O,Roma,713,152,0,
Nikola Kalinic,1988,F,Hajduk Split,477,152,6,
Laszlo Kubala,1927,O,Zürich,234,152,1,
Dimitrios Salpingidis,1981,F,Panionios,416,152,1,
Hristo Stoichkov,1966,O,DC United,324,151,6,
Liam Buchanan,1985,F,Berwick Rangers,392,151,1,
Marcos Tavares,1984,F,Maribor,396,151,1,
Charlie Austin,1989,F,Swindon Town,397,151,1,
Ohi Anthony Omoijuanfo,1994,O,Brondby,382,151,1,
Wilfried Bony,1988,F,Always Ready,323,151,2,
Fedor Smolov,1990,F,Dinamo Moscow,465,151,0,
Batuhan Karadeniz,1991,F,Van Spor FK,367,151,2,
Adem Büyük,1987,F,Manisa FK,492,151,8,
Ohi Anthony Omoijuanfo,1994,O,Brondby,382,151,1,
Wilfried Bony,1988,F,Always Ready,323,151,2,
Fedor Smolov,1990,F,Dinamo Moscow,465,151,0,
Batuhan Karadeniz,1991,F,Van Spor FK,367,151,2,
Adem Büyük,1987,F,Manisa FK,492,151,8,
Sergen Yalçın,1972,O,Eskişehirspor,528,150,4,
Simon Engelmann,1989,F,Rödinghausen,295,150,2,
Harold Preciado,1994,F,Santos Laguna,290,150,1,
Sebastian Saez,1985,F,CD Everton,283,150,0,
Jason Cummings,1995,F,Central Coast Mariners,364,150,2,
Mislav Orsic,1992,F,Trabzonspor,486,150,1,
Kamil Wilczek,1988,F,Piast Gliwice,366,150,1,
Camilo,1988,F,Queretaro,367,150,3,
Hasan Özçelik,1981,F,Kilis Belediyespor,311,150,6,
Christoph Westerthaler,1965,F,Wacker Innsbruck,460,150,2,
Alfred Finnbogason,1989,F,Lyngby,369,150,2,
Paolo Pulici,1950,F,Fiorentina,433,150,0,
Darren Bent,1984,F,Derby County,431,150,0,
Ryan Giggs,1973,O,Manchester United,848,150,0,
Arif Erdem,1972,F,Galatasaray,556,150,1,
Arif Erdem,1972,F,Galatasaray,556,150,1,
Raphael Nuzzolo,1983,O,Neuchatel Xamax,526,149,4,
Tessa Wullaert,1993,O,Fortuna Sittard (K),302,149,1,
Adriano Bassetto,1925,F,Atalanta,329,149,0,
El Arbi Soudani,1987,F,Maribor,376,149,2,
Daniel Böde,1986,O,Paksi SE,379,149,2,
Mümin Aysever,1987,F,Bağcılar Spor Kulübü,395,149,0,
Serdal Öz,1988,F,Çorluspor 1947,296,149,1,
Fikri Elma,1934,F,Ankara Demirspor,330,149,4,
Zafer Tüzün,1962,F,Diyarbakırspor,362,149,5,
Rodrigo Lima,1983,F,Al Ahli FC Dubai,314,149,0,
Francesco Graziani,1952,F,Udinese,416,149,3,
Tayfun Özkan,1981,O,Bucaspor 1928,317,148,2,
Gianni Rivera,1943,O,Milan,621,148,0,
Aleksandr Kerzhakov,1982,F,Zenit St. Petersburg,387,148,1,
Joao Pinto,1971,O,Sporting Braga,579,148,15,
Yakubu Aiyegbeni,1982,F,Coventry,391,148,2,
Raul Tamudo,1977,F,Sabadell,465,148,4,
Savo Milosevic,1973,F,Rubin Kazan,435,148,2,
Ersin Aksaç,1982,F,Kestel Belediyespor,374,148,1,
Vidar Kjartansson,1990,F,CSKA 1948 Sofia,358,148,1,
Lucas Pratto,1988,F,Velez Sarsfield,535,148,2,
Dimitri Payet,1987,O,Marsilya,694,148,5,
Raul Garcia,1986,O,Athletic Bilbao,774,148,6,
Santi Cazorla,1984,O,Al Sadd,730,148,1,
Bradley Wright-Phillips,1985,F,Columbus Crew,359,148,0,
Gianni Rivera,1943,O,Milan,621,148,0,
Aleksandr Kerzhakov,1982,F,Zenit St. Petersburg,387,148,1,
Joao Pinto,1971,O,Sporting Braga,579,148,15,
Yakubu Aiyegbeni,1982,F,Coventry,391,148,2,
Raul Tamudo,1977,F,Sabadell,465,148,4,
Savo Milosevic,1973,F,Rubin Kazan,435,148,2,
Ersin Aksaç,1982,F,Kestel Belediyespor,374,148,1,
Amancio,1939,F,Real Madrid,427,147,3,
Gökmen Özdenak,1947,F,Galatasaray,433,147,8,
Cristian Borja,1988,F,Universidad Catolica,415,147,4,
Mickael Pote,1984,F,Bandırmaspor,406,147,2,
Marc Janko,1983,F,Lugano,337,147,4,
Ercan Güneri,1981,F,Hacettepe 1945,450,147,2,
David Silva,1986,O,Real Sociedad,829,147,3,
Serdar Dursun,1991,F,Fenerbahçe,375,147,2,
Shin-Wook Kim,1988,F,Kitchee,325,147,0,
Georg Volkert,1945,F,Nürnberg,459,147,1,
Gökmen Özdenak,1947,F,Galatasaray,433,147,8,
Cristian Borja,1988,F,Universidad Catolica,415,147,4,
Mickael Pote,1984,F,Bandırmaspor,406,147,2,
Marc Janko,1983,F,Lugano,337,147,4,
Ercan Güneri,1981,F,Hacettepe 1945,450,147,2,
David Silva,1986,O,Real Sociedad,829,147,3,
Cemre Atmaca,1985,F,Çankaya FK,418,146,5,
Lewis Grabban,1988,F,Nottingham Forest,347,146,1,
Dario Benedetto,1990,F,Boca Juniors,410,146,7,
Matias Alustiza,1984,F,Ramon Santamarina,396,146,6,
David McDaid,1990,F,Coleraine FC,358,146,3,
Rosimar Bill,1984,F,Lamphun Warrior,383,146,4,
Sebastian Giovinco,1987,F,Sampdoria,475,146,2,
Loic Remy,1987,F,Adana Demirspor,440,146,4,
Andy Cole,1971,F,Nottingham Forest,331,146,3,
Dennis Bergkamp,1969,F,Arsenal,499,146,3,
Yunus Altun,1977,F,Altay,345,146,0,
Loic Remy,1987,F,Adana Demirspor,440,146,4,
Andy Cole,1971,F,Nottingham Forest,331,146,3,
Dennis Bergkamp,1969,F,Arsenal,499,146,3,
Yunus Altun,1977,F,Altay,345,146,0,
Goran Pandev,1983,F,Parma,688,145,8,
Marcus Rashford,1997,F,Manchester United,415,145,1,
Borja Iglesias,1993,F,Real Betis,337,145,3,
Richard Blanco,1982,F,Mineros De Guayana,321,145,7,
Marcin Robak,1982,F,Widzew Lodz,323,145,2,
Erwin Kostedde,1946,F,Osnabrück,304,145,1,
Roberto Pruzzo,1955,F,Fiorentina,361,145,4,
Michael Zorc,1962,O,Borussia Dortmund,526,145,3,
Sunil Chhetri,1984,F,Bengaluru,309,145,0,
Santiago Silva,1980,F,Atletico Aldosivi,484,145,9,
Adrian Ramos,1986,F,America de Cali,507,145,4,
Cheick Diabate,1988,F,Persepolis,302,145,3,
Haris Seferovic,1992,F,Galatasaray,524,145,3,
Mamadou Niang,1979,F,Arles,353,144,0,
Marco Streller,1981,F,Basel,360,144,0,
Phillip Cocu,1970,O,Al Jazira Abu Dhabi,790,144,8,
Lee Gregory,1988,F,Sheffield Wednesday,424,144,2,
Hans Vanaken,1992,O,Club Brugge,509,144,3,
Anderson Talisca,1994,O,Al Nassr,322,144,4,
Dorlan Pabon,1988,F,Atletico Nacional,492,144,4,
Samir Hadji,1989,F,F91 Diddeleng,229,144,0,
Luis Muriel,1991,F,Atalanta,474,144,4,
Paulinho,1988,O,Corinthians,499,144,2,
Jackson Martinez,1986,F,Portimonense,313,144,1,
Ivan Zamorano,1967,F,Club America,351,144,4,
Roman Pavlyuchenko,1981,F,Znamya Noginsk,358,144,3,
Marco Streller,1981,F,Basel,360,144,0,
Phillip Cocu,1970,O,Al Jazira Abu Dhabi,790,144,8,
Paul Scholes,1974,O,Manchester United,687,143,6,
Welliton,1986,F,Novorizontino,335,143,1,
Anthony Stokes,1988,F,Adana Demirspor,360,143,2,
Can Erdem,1987,F,Şanlıurfaspor,395,143,1,
Ross McCormack,1986,F,Aldershot Town,415,143,1,
Benito Lorenzi,1925,F,Alessandria,333,143,6,
Satrustegui,1954,F,Real Sociedad,322,143,0,
Leon Benko,1983,F,NK Varazdin,338,143,1,
Jordan Rhodes,1990,F,Huddersfield Town,431,143,0,
Tiago Bezerra,1987,O,Neftçi Baku PFK,358,143,5,
Welliton,1986,F,Novorizontino,335,143,1,
Anthony Stokes,1988,F,Adana Demirspor,360,143,2,
Can Erdem,1987,F,Şanlıurfaspor,395,143,1,
Ross McCormack,1986,F,Aldershot Town,415,143,1,
Benito Lorenzi,1925,F,Alessandria,333,143,6,
Satrustegui,1954,F,Real Sociedad,322,143,0,
Leon Benko,1983,F,NK Varazdin,338,143,1,
Coşkun Yılmaz,1983,F,Hacettepe 1945,386,142,6,
Ertan Adatepe,1938,F,Türk Telekom,324,142,1,
Luis Rodriguez,1985,F,Central Cordoba Santiago,378,142,3,
Nikica Jelavic,1985,F,Lokomotiva Zagreb,339,142,2,
Massimo Coda,1988,F,Genoa,341,142,2,
Rouwen Hennings,1987,F,Sandhausen,440,142,0,
Tim Cahill,1979,F,Jamshedpur,503,142,5,
Stephane Chapuisat,1969,F,Lausanne Sports,329,142,0,
Sandro Mazzola,1942,O,Hellas Verona,502,142,0,
Karlheinz Riedle,1965,F,Fulham,417,142,0,
Michael Ballack,1976,O,Bayer Leverkusen,568,142,7,
Massimo Coda,1988,F,Genoa,341,142,2,
Rouwen Hennings,1987,F,Sandhausen,440,142,0,
Tim Cahill,1979,F,Jamshedpur,503,142,5,
Stephane Chapuisat,1969,F,Lausanne Sports,329,142,0,
Sandro Mazzola,1942,O,Hellas Verona,502,142,0,
Karlheinz Riedle,1965,F,Fulham,417,142,0,
Michael Ballack,1976,O,Bayer Leverkusen,568,142,7,
Okan Yılmaz,1978,F,Altınova Belediyespor,320,141,0,
Emanuel Gunther,1954,F,Karlsruher SC,335,141,0,
Igoa,1920,F,Real Sociedad,284,141,0,
Kane Hemmings,1991,F,Tranmere Rovers,399,141,0,
Robert Beric,1991,F,Tianjin Teda,375,141,3,
Zakaria Beglarishvili,1990,O,Gagra,308,141,1,
Steven Berghuis,1991,O,Ajax,468,141,4,
Glynor Plet,1987,F,Telstar,376,141,5,
Augustin Herrera,1985,F,Mixco,313,141,1,
James Rodriguez,1991,O,Olympiakos,531,141,2,
Fernando Gomes,1956,F,Sporting CP,273,141,0,
Pierre Littbarski,1960,O,Köln,496,141,3,
Mateja Kezman,1979,F,BATE Borisov,303,141,7,
James Rodriguez,1991,O,Olympiakos,531,141,2,
Fernando Gomes,1956,F,Sporting CP,273,141,0,
Pierre Littbarski,1960,O,Köln,496,141,3,
Mateja Kezman,1979,F,BATE Borisov,303,141,7,
Gökdeniz Karadeniz,1980,O,Rubin Kazan,635,140,2,
Fernando Fernandez,1992,F,Cerro Porteno,330,140,0,
Jefferson Duque,1987,F,Atletico Nacional,377,140,2,
Adam Jabiri,1984,F,Schweinfurt,251,140,4,
Luis Tejada,1982,F,Plaza Amador,304,140,8,
Aloisio,1988,F,America Mineiro,358,140,4,
Fernando Uribe,1988,F,Millonarios,351,140,2,
Johnny Russell,1990,F,Sporting Kansas City,524,140,2,
Ignacio Scocco,1985,F,Newells Old Boys,359,140,3,
Pablo Escobar,1978,O,The Strongest,299,140,4,
Abel Hernandez,1990,F,CA Penarol,424,140,1,
Max Kruse,1988,F,Paderborn,456,140,0,
Mevlüt Erdinç,1987,F,Kocaelispor,517,140,1,
Alexander Meier,1983,F,Western Sydney Wanderers,415,140,3,
Nihat Kahveci,1979,F,Beşiktaş,483,140,2,
Blaise Nkufo,1975,F,Seattle Sounders,300,140,2,
Blaise Nkufo,1975,F,Seattle Sounders,300,140,2,
Zülküf Ertem,1980,F,Çerkezköyspor,260,139,1,
Gerd-Volker Schock,1950,F,Osnabrück,299,139,1,
Badenes,1928,F,Sporting Gijon,201,139,0,
Fernandao,1987,F,Tombense,356,139,2,
John Hansen,1924,F,Frem,214,139,3,
Hermann Ohlicher,1949,O,Stuttgart,424,139,1,
Kingsley Onuegbu,1986,F,Dongguan United,355,139,0,
Josip Ilicic,1988,O,Maribor,503,139,5,
Ahmet Özacar,1937,F,Beşiktaş,431,139,0,
Bryan Linssen,1990,F,Urawa Red Diamonds,469,139,2,
Hikmet Şıktaşlılar,1961,F,Selçuk Efes Spor,349,139,1,
Hüseyin Çelik,1988,F,Ünye 1957,367,139,6,
Abuzer Gaffar Toplu,1991,F,Çankaya FK,399,139,0,
Bogdan Stancu,1987,F,Eyüpspor,419,139,2,
Juan Mata,1988,O,Galatasaray,637,139,1,
Ryan Babel,1986,O,Eyüpspor,687,139,5,
Igor Angulo,1984,O,Mumbai City,259,139,0,
Mariano Pavone,1982,F,Quilmes,432,139,2,
Igor de Camargo,1983,F,Mechelen,479,139,2,
Bogdan Stancu,1987,F,Eyüpspor,419,139,2,
Juan Mata,1988,O,Galatasaray,637,139,1,
Ryan Babel,1986,O,Eyüpspor,687,139,5,
Igor Angulo,1984,O,Mumbai City,259,139,0,
Mariano Pavone,1982,F,Quilmes,432,139,2,
Igor de Camargo,1983,F,Mechelen,479,139,2,
Semih Şentürk,1983,F,Eskişehirspor,438,138,5,
Peter Shalulile,1993,D,Mamelodi Sundowns,273,138,0,
Caroline Weir,1995,F,İskoçya (K),336,138,0,
Okyere Wriedt,1994,F,Osnabrück,344,138,2,
Göksu Türkdoğan,1985,F,İnegöl Kafkas GK,507,138,1,
Mike Wunderlich,1986,O,Kaiserslautern,314,138,2,
Fatos Beqiraj,1988,F,Decic Tuzi,502,138,1,
Tunç Murat Behram,1990,F,Bucaspor 1928,422,138,6,
Lucas Barrios,1984,F,Sportivo Luqueno,399,138,1,
Marcelo Moreno,1987,F,Cerro Porteno,420,138,2,
Martin Kamburov,1980,O,PFC Beroe,284,138,2,
Pierre Webo,1982,F,Nacional de Football,503,138,6,
Bülent Çakmak,1979,F,Torbalıspor,320,138,4,
Cenk Kasımoğlu,1982,F,Karasuspor,368,137,7,
Guro Reiten,1994,O,Chelsea (K),350,137,1,
Ivan Sergeev,1995,O,Zenit St. Petersburg,258,137,0,
Juan Martin Lucero,1991,O,Fortaleza,360,137,2,
Serge Gnabry,1995,O,Bayern Münih,355,137,0,
Ilija Spasojevic,1987,F,Bali United,216,137,0,
Carlos Quintero,1987,F,America de Cali,508,137,6,
Gylfi Sigurdsson,1989,O,Everton,532,137,1,
Muhammet Reis,1984,O,Iğdır Futbol Kulübü,561,137,7,
Gheorghe Hagi,1965,O,Galatasaray,433,137,8,
Danko Lazovic,1983,F,MOL Fehervar,434,137,10,
Fatih Koyugölge,1979,O,Kestel Belediyespor,305,137,4,
Coşkun Birdal,1973,F,Pendikspor,385,136,1,
Patrick Anderson,1987,F,Kyoto Sanga,391,136,1,
Andy Delort,1991,F,Nantes,428,136,1,
Alfred Drabits,1959,F,First Vienna,339,136,0,
Ogün Altıparmak,1938,F,Fenerbahçe,420,136,5,
Yaşar Çetin,1985,F,Erbaaspor,459,136,2,
Jay Rodriguez,1989,F,Burnley,457,136,1,
Arturo Vidal,1987,O,Atletico Paranaense,774,136,9,
Adriano,1982,F,Miami United,302,136,0,
Andy Delort,1991,F,Nantes,428,136,1,
Alfred Drabits,1959,F,First Vienna,339,136,0,
Ogün Altıparmak,1938,F,Fenerbahçe,420,136,5,
Yaşar Çetin,1985,F,Erbaaspor,459,136,2,
Jay Rodriguez,1989,F,Burnley,457,136,1,
Arturo Vidal,1987,O,Atletico Paranaense,774,136,9,
Adriano,1982,F,Miami United,302,136,0,
Emile Heskey,1978,F,Bolton Wanderers,691,135,2,
Juan Dinenno,1994,F,Pumas UNAM,348,135,4,
Giorgian De Arrascaeta,1994,O,Flamengo,512,135,1,
Nahki Wells,1990,F,Bristol City,432,135,1,
Jonathan McDonald,1987,F,San Carlos,391,135,10,
Aykut Yiğit,1959,F,Balıkesirspor,420,135,0,
Franco Jara,1988,F,Belgrano Cordoba,465,135,9,
Kadri Aytaç,1931,F,Mersin İdmanyurdu,499,135,0,
Panizo,1922,F,Athletic Bilbao,332,135,0,
Marco van Basten,1964,F,Milan,218,135,3,
Ansola,1940,F,Real Sociedad,333,135,0,
Fernando Hierro,1968,D,Bolton Wanderers,663,135,13,
Kevin Phillips,1973,F,Leicester City,383,135,1,
Panizo,1922,F,Athletic Bilbao,332,135,0,
Marco van Basten,1964,F,Milan,218,135,3,
Ansola,1940,F,Real Sociedad,333,135,0,
Fernando Hierro,1968,D,Bolton Wanderers,663,135,13,
Kevin Phillips,1973,F,Leicester City,383,135,1,
Andrzej Juskowiak,1970,F,Erzgebirge Aue,408,134,3,
Danny van den Meiracker,1989,F,Quick Boys,269,134,4,
Sinan Kurumuş,1994,F,Çorum FK,324,134,1,
Taha Balcı,1988,F,Tarsus İdman Yurdu,410,134,0,
Elton Brandao,1985,F,Juventude,428,134,4,
Marco Perez,1990,F,Aguilas Doradas,450,134,3,
Bergson,1991,O,Johor DT,290,134,2,
Kyle Lafferty,1987,F,Kilmarnock,505,134,4,
Balazs Dzsudzsak,1986,O,Debrecen,580,134,6,
Cesc Fabregas,1987,O,Como,815,134,4,
Pierre van Hooijdonk,1969,F,Feyenoord,282,134,5,
Ismael Urzaiz,1971,F,Ajax,476,134,5,
Luis Enrique,1970,O,Barcelona,520,134,6,
John Carew,1979,F,West Ham United,446,134,2,
Martin Max,1968,F,Hansa Rostock,419,134,0,
Pierre van Hooijdonk,1969,F,Feyenoord,282,134,5,
Ismael Urzaiz,1971,F,Ajax,476,134,5,
Luis Enrique,1970,O,Barcelona,520,134,6,
John Carew,1979,F,West Ham United,446,134,2,
Martin Max,1968,F,Hansa Rostock,419,134,0,
Rade Prica,1980,F,Landskrona,367,133,6,
Ayron Del Valle,1989,F,Selangor FA,378,133,1,
Aykut Çift,1993,F,Çankaya FK,357,133,2,
İlker Avşar,1990,F,68 Aksaray Belediyespor,378,133,7,
Philippe Coutinho,1992,O,Aston Villa,541,133,2,
Caio Correa,1990,F,Al Ain,403,133,3,
Roope Riski,1991,F,HJK Helsinki,335,133,3,
Kalle Multanen,1989,F,VPS,270,133,0,
Marco Schneuwly,1985,F,Aarau,394,133,1,
Martin Harnik,1987,F,Werder Bremen,435,133,4,
Rydell Poepon,1987,F,Ijsselmeervogels,474,133,3,
Theo Walcott,1989,F,Southampton,573,133,0,
Daniel Güiza,1980,F,Atletico Sanluqueno,431,133,3,
Tobias Hysen,1982,F,Tvaaker,334,133,0,
Davor Vugrinec,1975,F,Slaven Belupo,365,133,1,
Martin Harnik,1987,F,Werder Bremen,435,133,4,
Rydell Poepon,1987,F,Ijsselmeervogels,474,133,3,
Theo Walcott,1989,F,Southampton,573,133,0,
Daniel Güiza,1980,F,Atletico Sanluqueno,431,133,3,
Tobias Hysen,1982,F,Tvaaker,334,133,0,
Davor Vugrinec,1975,F,Slaven Belupo,365,133,1,
Cafercan Aksu,1987,O,Bayrampaşa,466,132,5,
Hirving Lozano,1995,F,Napoli,447,132,9,
Peter Cestonaro,1954,F,Hessen Kassel,300,132,0,
Murillo,1932,F,Real Zaragoza,227,132,3,
Charles,1984,F,Pontevedra,373,132,5,
Martin Cauteruccio,1987,F,Independiente,375,132,2,
Gaetan Charbonnier,1988,F,Saint-Etienne,420,132,4,
Alan Kardec,1989,F,Atletico Mineiro,355,132,2,
Timo Furuholm,1987,F,Inter Turku,340,132,3,
Ricardo Santos,1987,F,Uthai Thani,354,132,4,
Ben Sahar,1989,F,Maccabi Petah Tikva,486,132,1,
Alecsandro,1981,F,Primavera SP,457,132,3,
Scott Sinclair,1989,O,Bristol Rovers,482,132,0,
Abel Balbo,1966,F,Roma,291,132,0,
Ben Sahar,1989,F,Maccabi Petah Tikva,486,132,1,
Alecsandro,1981,F,Primavera SP,457,132,3,
Scott Sinclair,1989,O,Bristol Rovers,482,132,0,
Abel Balbo,1966,F,Roma,291,132,0,
Yoshito Okubo,1982,F,Cerezo Osaka,403,131,5,
Natasha Dowie,1988,F,Liverpool (K),267,131,0,
Nikita Parris,1994,F,Manchester United (K),327,131,2,
Budu Zivzivadze,1994,F,Karlsruher SC,296,131,0,
Jonathan Rodriguez,1993,F,Club America,359,131,4,
Juan Callejon,1987,O,San Fernando,352,131,4,
Pietro Iemmello,1992,F,Catanzaro,294,131,1,
Hakim Ziyech,1993,O,Chelsea,436,131,1,
Paco Alcacer,1993,F,Al Sharjah,374,131,1,
Flavio Paixao,1984,F,Lechia Gdansk,404,131,2,
Eren Derdiyok,1988,F,FC Schaffhausen,457,131,1,
Stanislav Sestak,1982,F,Poprad,411,131,2,
Christian Keglevits,1961,F,Wiener SK,399,131,4,
Ezio Pascutti,1937,F,Bologna,303,131,5,
Ismael Blanco,1983,F,Ciudad de Bolívar,381,130,0,
Rodrigo Palacio,1982,F,Brescia,476,130,1,
Andre Gray,1991,F,Aris Saloniki,382,130,0,
Toma Tabatadze,1991,F,Neftchi Fargona,241,130,6,
Gyasi Zardes,1991,F,Austin,388,130,0,
Michael Smith,1991,F,Sheffield Wednesday,444,130,1,
Felice Placido Borel,1914,F,Napoli,257,130,2,
Mikael Ishak,1993,F,Lech Poznan,359,130,2,
Eduardo Vargas,1989,F,Atletico Mineiro,523,130,5,
Milan Skoda,1986,F,Mlada Boleslav,376,130,1,
Nermin Haskic,1989,F,Velez Mostar,323,130,0,
Dragan Boskovic,1985,F,Chonburi,206,130,0,
Mohamed Elyounoussi,1994,O,FC Copenhagen,441,130,2,
Oğuzhan Türkmen,1987,F,Taçspor,302,130,4,
Berk İsmail Ünsal,1994,F,Esenler Erokspor,332,130,2,
Artun Akçakın,1993,F,Tarsus İdman Yurdu,394,130,1,
Roger Rodrigues,1985,F,Inter de Limeira,356,130,3,
Marcus Pedersen,1990,F,HamKam,321,130,3,
Marvin Pourie,1991,F,Meppen,390,130,3,
Gervinho,1987,F,Aris Saloniki,503,130,4,
Besart Berisha,1985,F,Western United,282,130,5,
Rodrigo Palacio,1982,F,Brescia,476,130,1,
Rodrigo Palacio,1982,F,Brescia,476,130,1,
Helder Postiga,1982,F,Atletico de Kolkata,508,129,6,
Walter Krause,1953,F,Kickers Offenbach,341,129,0,
Marko Livaja,1993,F,Hajduk Split,380,129,6,
Aleksandar Pesic,1992,F,Kızılyıldız,318,129,2,
Walter Knaller,1957,F,Kremser SC,343,129,1,
Güven Güneri,1987,F,Cankurtaran,334,129,4,
Arieta I,1933,F,Athletic Bilbao,250,129,2,
David McMillan,1988,F,Dundalk,388,129,1,
Juan Arce,1985,F,Blooming,479,129,5,
Serdar Deliktaş,1986,F,Esenler Erokspor,463,129,7,
Alexander Söderlund,1987,F,Haugesund,421,129,2,
Rafael Moura,1983,F,Botafogo,427,129,10,
Eduardo,1983,F,Legia Warszawa,376,129,0,
Danny Graham,1985,F,Sunderland,470,129,0,
Diego Maradona,1960,O,Boca Juniors,301,129,5,
Jay Bothroyd,1982,F,Consadole Sapporo,405,129,1,
Jimmy Briand,1985,F,Bordeaux,610,129,0,
Mladen Petric,1981,F,Panathinaikos,348,129,2,
Ivica Olic,1979,F,1860 München,438,129,0,
Alexander Söderlund,1987,F,Haugesund,421,129,2,
Rafael Moura,1983,F,Botafogo,427,129,10,
Eduardo,1983,F,Legia Warszawa,376,129,0,
Danny Graham,1985,F,Sunderland,470,129,0,
Diego Maradona,1960,O,Boca Juniors,301,129,5,
Jay Bothroyd,1982,F,Consadole Sapporo,405,129,1,
Jimmy Briand,1985,F,Bordeaux,610,129,0,
Mladen Petric,1981,F,Panathinaikos,348,129,2,
Ivica Olic,1979,F,1860 München,438,129,0,
Murat Uluç,1981,F,Altay,373,128,4,
Koray Kurt,1983,F,Çubukspor F.A.Ş.,389,128,2,
Giuliano,1990,O,Corinthians,610,128,2,
Ats Purje,1985,F,Tallinna Kalev,444,128,0,
Martyn Waghorn,1990,F,Coventry,487,128,4,
İskender Alın,1984,F,Şile Yıldızspor,387,128,1,
Rui Aguas,1960,F,Estrela Amadora,288,128,0,
Domingos Paciencia,1969,F,Porto,377,128,2,
Lior Refaelov,1986,O,Maccabi Haifa,504,128,2,
Filip Holosko,1984,F,Slovacko,481,128,2,
Recep Serkan Çetintaş,1979,O,Başiskele Doğantepespor,395,128,1,
Nicklas Helenius,1991,F,Aalborg,411,128,0,
Mustapha Yatabare,1986,F,Sivasspor,464,128,5,
Koray Kurt,1983,F,Çubukspor F.A.Ş.,389,128,2,
Giuliano,1990,O,Corinthians,610,128,2,
Ats Purje,1985,F,Tallinna Kalev,444,128,0,
Martyn Waghorn,1990,F,Coventry,487,128,4,
İskender Alın,1984,F,Şile Yıldızspor,387,128,1,
Rui Aguas,1960,F,Estrela Amadora,288,128,0,
Domingos Paciencia,1969,F,Porto,377,128,2,
Lior Refaelov,1986,O,Maccabi Haifa,504,128,2,
Filip Holosko,1984,F,Slovacko,481,128,2,
Recep Serkan Çetintaş,1979,O,Başiskele Doğantepespor,395,128,1,
Okan Öztürk,1977,F,Yeni Malatyaspor,461,127,5,
Michel,1963,O,Celaya,516,127,1,
Arouna Kone,1983,F,Sivasspor,447,127,1,
Teddy Sheringham,1966,F,West Ham United,393,127,1,
Gus Poyet,1967,O,Tottenham,473,127,7,
Dwight Yorke,1971,F,Sunderland,383,127,1,
Jan Koller,1973,F,Cannes,347,127,2,
Emrah Bozkurt,1980,F,Etimesgut Belediyespor,396,127,4,
Campos,1916,F,Sporting Gijon,205,127,0,
Emil Forsberg,1991,O,RB Leipzig,494,127,3,
Brett Pitman,1988,F,Bristol Rovers,412,127,0,
Shane Sutherland,1990,F,Inverness CT,388,127,0,
Chris Martin,1988,F,Bristol City,504,127,2,
Emre Okur,1984,F,Siirt İl Özel İdare,493,127,3,
Samuel Armenteros,1990,F,Heracles,393,127,1,
Pontus Engblom,1991,F,GIF Sundsvall,323,127,0,
Eder,1986,F,Criciuma,463,127,3,
Luis Suarez,1935,O,Sampdoria,519,127,4,
